site,longitude,latitude
cabbage_isl,-123.08668,48.79682
dodger,-125.196425,48.835283
ducking,-125.8667652,49.13991329
elbow,-125.9425946,49.19491951
gallagher,-123.286252,48.826146
hl,-131.28261,52.23015
indian,-125.7763121,49.1128584
james,-123.397215,48.84043
lyall,-123.17972,48.794416
ra,-131.406197,52.568874
robbers,-125.11768,48.895966
sarita,-125.036943,48.883677
sidney spit,-123.33126,48.64074
